Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Other,2000,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49
PS2,2006,Misc,Sony Computer Entertainment,0,1.1,0,0.39,1.49
PS3,2010,Action,Take-Two Interactive,0.5,0.69,0.04,0.26,1.49
Other,2015,Action,Other,0.88,0.47,0,0.14,1.49
Other,2016,Shooter,Other,0.54,0.69,0.02,0.24,1.49
PS2,2006,Shooter,Other,0.47,0.37,0.52,0.12,1.48
Other,1999,Fighting,THQ,1.2,0.25,0.02,0.02,1.48
Other,1997,Platform,Nintendo,0.7,0.35,0.39,0.04,1.48
Other,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48
PSP,2007,Racing,Sega,0.44,0.67,0,0.37,1.48
DS,2006,Adventure,THQ,0.43,0.88,0,0.18,1.48
PS3,2011,Shooter,Sony Computer Entertainment,0.64,0.57,0.05,0.22,1.48
DS,2008,Adventure,THQ,0.99,0.35,0,0.13,1.48
Wii,2009,Misc,Other,1.07,0.28,0,0.13,1.48
X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48
PS2,2005,Sports,Take-Two Interactive,0.72,0.56,0,0.19,1.48
PS2,2004,Fighting,Electronic Arts,1.08,0.2,0,0.2,1.48
X360,2011,Action,Other,0.84,0.51,0,0.13,1.48
XB,2004,Action,Ubisoft,0.82,0.59,0,0.07,1.48
Other,2013,Platform,Nintendo,0.52,0.77,0.07,0.11,1.47
DS,2007,Simulation,Ubisoft,0.39,0.91,0,0.17,1.47
GBA,2003,Platform,THQ,1.04,0.37,0,0.06,1.47
Other,1999,Action,Nintendo,0.62,0.18,0.65,0.02,1.47
Other,2012,Action,Activision,0.71,0.43,0.07,0.26,1.47
X360,2012,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.47
X360,2006,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47
PS,1998,Role-Playing,Other,0.29,0.19,0.89,0.1,1.46
GBA,2004,Platform,THQ,1.02,0.38,0,0.06,1.46
DS,2010,Puzzle,Other,1.06,0.29,0,0.11,1.46
PS2,2003,Misc,Other,0.72,0.56,0,0.19,1.46
PS,N/A,Sports,Other,0.81,0.55,0,0.1,1.46
Other,2013,Role-Playing,Other,0.06,0.09,1.3,0.01,1.46
Other,2001,Puzzle,Other,0.95,0.37,0.1,0.04,1.46
PS3,2008,Fighting,Ubisoft,0.72,0.4,0.14,0.2,1.46
Other,1981,Platform,Other,1.36,0.08,0,0.02,1.46
PS,1998,Fighting,Other,0.81,0.55,0,0.1,1.46
Wii,2009,Sports,Nintendo,0.35,0.69,0.28,0.14,1.46
Other,2005,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46
DS,2008,Platform,THQ,0.46,0.82,0,0.17,1.46
PS,1998,Fighting,THQ,1.17,0.2,0.04,0.05,1.46
X360,2008,Shooter,Electronic Arts,0.81,0.46,0.04,0.15,1.46
X360,2011,Shooter,THQ,0.83,0.48,0.02,0.12,1.45
PS2,2004,Action,Other,0.37,0.47,0.54,0.07,1.45
PS3,2014,Sports,Electronic Arts,1.08,0.11,0,0.27,1.45
PS2,2004,Shooter,Take-Two Interactive,0.71,0.55,0,0.19,1.45
PS2,2003,Action,Other,0.54,0.35,0.46,0.1,1.45
Other,1996,Simulation,Namco Bandai Games,0,0,1.44,0.01,1.45
Other,1984,Misc,Nintendo,0,0,1.45,0,1.45
Other,1993,Fighting,Namco Bandai Games,0,0,1.45,0,1.45
Other,1997,Simulation,Namco Bandai Games,0,0,1.44,0.01,1.45
Other,1999,Misc,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45
PS3,2011,Role-Playing,Electronic Arts,0.78,0.45,0.03,0.19,1.45
DS,2011,Strategy,Other,1.02,0.32,0,0.11,1.45
PS2,2005,Sports,Activision,1.38,0.05,0,0.02,1.45
Other,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.23,1.45
Wii,2008,Shooter,Sega,0.77,0.49,0.03,0.15,1.44
PS2,2007,Misc,Sony Computer Entertainment,0.04,1.08,0,0.32,1.44
Other,1996,Platform,Nintendo,0.26,0.07,1.09,0.02,1.44
Wii,2010,Racing,Sega,0.61,0.68,0,0.15,1.44
X360,2013,Action,Other,0.97,0.34,0,0.13,1.44
DS,2007,Misc,Ubisoft,0.37,0.89,0,0.18,1.44
PS2,2004,Sports,Electronic Arts,1.03,0.32,0,0.09,1.44
PS2,2002,Sports,Electronic Arts,1.16,0.08,0,0.19,1.44
X360,2010,Action,Other,0.95,0.37,0,0.11,1.43
PS,1999,Action,Other,0.8,0.54,0,0.09,1.43
X360,2007,Fighting,THQ,0.92,0.38,0,0.13,1.43
X360,2010,Racing,Other,0.92,0.39,0,0.12,1.43
Wii,2007,Misc,Electronic Arts,0.52,0.75,0,0.16,1.43
PSP,2006,Fighting,Sega,0.53,0.57,0,0.34,1.43
Other,1988,Platform,Other,0.82,0.23,0.35,0.03,1.43
DS,2007,Adventure,Other,1.12,0.19,0,0.11,1.43
GBA,2004,Platform,Nintendo,0,0,1.39,0.03,1.43
PS,1999,Sports,Electronic Arts,0.79,0.54,0,0.09,1.43
PC,2011,Strategy,Ubisoft,0,1.13,0,0.29,1.43
Wii,2008,Puzzle,Electronic Arts,0.96,0.33,0,0.13,1.43
PSP,2006,Racing,Sega,0.73,0.42,0,0.27,1.42
PS3,2008,Shooter,Take-Two Interactive,0.75,0.46,0.01,0.2,1.42
PS3,2012,Role-Playing,Electronic Arts,0.63,0.56,0.03,0.2,1.42
PS2,2002,Sports,Activision,0.7,0.54,0,0.18,1.42
PS2,2005,Sports,Electronic Arts,1.35,0.05,0,0.02,1.42
PC,2013,Simulation,Electronic Arts,0.48,0.77,0,0.17,1.42
GBA,2004,Action,Nintendo,0.89,0.22,0.22,0.1,1.42
PS2,2004,Sports,Electronic Arts,1.15,0.08,0,0.19,1.42
Other,1994,Action,Nintendo,0.57,0.12,0.71,0.02,1.42
Other,1987,Sports,Namco Bandai Games,0.12,0,1.3,0,1.42
PS3,2011,Shooter,Electronic Arts,0.73,0.48,0,0.21,1.42
Wii,2008,Sports,Electronic Arts,0.8,0.47,0,0.14,1.42
PS3,2013,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42
Other,2002,Action,Other,0.63,0.38,0.35,0.05,1.42
Wii,2006,Misc,Ubisoft,1.22,0.06,0.02,0.11,1.42
DS,2010,Role-Playing,Other,0.09,0.07,1.24,0.02,1.41
PS3,2010,Fighting,THQ,0.8,0.4,0.02,0.18,1.41
Other,2005,Action,Other,1.09,0.28,0,0.04,1.41
PS3,2012,Action,Electronic Arts,0.48,0.62,0.06,0.26,1.41
Other,1994,Platform,Other,0.97,0.37,0.03,0.05,1.41
X360,2009,Misc,Sega,0.85,0.43,0,0.13,1.41
DS,2007,Misc,Other,0.78,0.51,0,0.12,1.41
Wii,2010,Simulation,Electronic Arts,0.57,0.69,0,0.14,1.41
PS,1999,Fighting,Electronic Arts,1.02,0.34,0,0.05,1.41
PS2,2003,Racing,Sony Computer Entertainment,0,0.47,0.77,0.17,1.41
X360,2013,Role-Playing,Activision,0.9,0.39,0,0.12,1.41
PS2,2001,Racing,Sony Computer Entertainment,1.19,0.17,0,0.05,1.41
PS2,2004,Racing,Electronic Arts,0.69,0.54,0,0.18,1.41
X360,2009,Fighting,Electronic Arts,0.95,0.33,0,0.13,1.4
XB,2002,Action,Activision,1.07,0.28,0,0.05,1.4
PSP,2006,Action,Other,0.58,0.5,0,0.32,1.4
X360,2008,Action,Electronic Arts,0.89,0.39,0,0.13,1.4
PS2,2008,Racing,Electronic Arts,0.38,0.08,0.03,0.93,1.4
PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4
Wii,2009,Action,Activision,0.9,0.38,0,0.12,1.4
PSP,2004,Racing,Sony Computer Entertainment,0.36,0.44,0.32,0.27,1.4
GBA,2004,Platform,THQ,0.74,0.52,0.08,0.06,1.4
Other,1990,Role-Playing,Other,0,0,1.39,0.01,1.4
Other,2014,Action,Other,0.47,0.65,0.06,0.22,1.4
PS2,2002,Racing,Other,0.03,1.05,0.02,0.3,1.4
Other,2014,Racing,Other,0.5,0.78,0.01,0.11,1.4
PS,2001,Sports,Electronic Arts,0.78,0.53,0,0.09,1.39
DS,2009,Role-Playing,Nintendo,0,0.19,1.18,0.03,1.39
Other,1994,Sports,Other,1.19,0.16,0,0.03,1.39
Other,1991,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39
PS2,2005,Action,Other,0.24,0.18,0.91,0.06,1.39
Wii,2007,Action,Other,0.87,0.38,0,0.13,1.39
X360,2013,Fighting,Other,0.97,0.3,0,0.11,1.38
PS3,2008,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38
Other,2014,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38
Wii,2012,Action,Other,0.9,0.37,0,0.11,1.38
XB,2003,Action,Activision,0.96,0.37,0,0.05,1.38
Wii,2010,Action,Other,0.63,0.62,0,0.14,1.38
Other,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.08,1.38
Other,2013,Action,Other,0.83,0.43,0,0.13,1.38
Other,2015,Fighting,Other,1.03,0.21,0,0.14,1.38
Other,2000,Role-Playing,Nintendo,0.58,0.18,0.59,0.02,1.38
Other,2015,Adventure,Other,0.55,0.7,0.02,0.11,1.38
PS,1998,Shooter,Take-Two Interactive,0.77,0.54,0,0.07,1.38
X360,2011,Platform,Sega,0.71,0.53,0,0.13,1.38
PS2,2001,Sports,Other,0.67,0.53,0,0.18,1.38
DS,2009,Action,Activision,1.26,0.02,0,0.1,1.38
PS2,2008,Action,Other,0.6,0.01,0,0.76,1.37
X360,2011,Shooter,Other,0.76,0.47,0.02,0.12,1.37
PS,1998,Misc,Activision,0.76,0.52,0,0.09,1.37
DS,2007,Role-Playing,Other,0.33,0.41,0.54,0.1,1.37
Wii,2010,Shooter,Activision,0.8,0.45,0,0.12,1.37
PS3,2011,Shooter,Other,0.5,0.59,0.07,0.22,1.37
XB,2004,Role-Playing,Activision,0.99,0.33,0,0.05,1.37
Other,1998,Strategy,Nintendo,0,0,1.37,0,1.37
PSP,2005,Simulation,Electronic Arts,0.49,0.55,0,0.33,1.37
PS3,2010,Action,Other,0.43,0.56,0.15,0.21,1.36
PS3,2006,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.36
XB,2004,Shooter,Ubisoft,0.86,0.45,0,0.06,1.36
X360,2011,Action,Electronic Arts,0.63,0.57,0,0.15,1.36
GBA,2003,Platform,Other,0.63,0.66,0,0.07,1.36
X360,2014,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36
PS2,2008,Misc,Sony Computer Entertainment,0.23,0.04,0,1.09,1.36
Other,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1,0.01,1.36
Other,1996,Role-Playing,Other,0,0,1.36,0,1.36
Other,1981,Shooter,Other,1.26,0.08,0,0.01,1.36
PS2,2002,Shooter,Electronic Arts,0.67,0.52,0,0.17,1.36
PS3,2012,Action,THQ,0.51,0.6,0,0.25,1.35
PS,1999,Simulation,Konami Digital Entertainment,0,0,1.26,0.09,1.35
Wii,2009,Misc,Electronic Arts,0.7,0.52,0,0.13,1.35
PS,1997,Sports,Electronic Arts,1.29,0.03,0,0.03,1.35
DS,2009,Puzzle,Other,0.79,0.42,0.01,0.13,1.35
X360,2008,Racing,Electronic Arts,0.63,0.57,0.01,0.14,1.35
Other,2014,Action,Other,0.73,0.5,0.01,0.12,1.35
PS3,2008,Racing,Sony Computer Entertainment,0.43,0.65,0.02,0.25,1.35
PS2,2004,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35
PC,2013,Shooter,Electronic Arts,0.39,0.87,0,0.1,1.35
XB,2003,Racing,Other,0.7,0.58,0,0.07,1.35
Other,2016,Shooter,Other,0.78,0.44,0,0.12,1.35
PS,1997,Role-Playing,Other,0.15,0.04,1.07,0.09,1.35
PS2,2004,Misc,Sony Computer Entertainment,0,1.04,0,0.31,1.35
PSP,2007,Sports,Electronic Arts,0.2,0.76,0,0.39,1.35
PSP,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35
Wii,2007,Adventure,Other,1.22,0.03,0,0.09,1.35
X360,2007,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35
PS2,2002,Racing,Other,0.95,0.21,0.01,0.18,1.34
X360,2008,Action,Other,0.79,0.34,0.08,0.13,1.34
PS3,2008,Shooter,Ubisoft,0.66,0.44,0.04,0.21,1.34
Wii,2010,Action,Nintendo,0.85,0.27,0.13,0.1,1.34
X360,2011,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34
DS,2008,Role-Playing,Other,0.61,0.16,0.49,0.08,1.34
PS3,2011,Fighting,Other,0.81,0.28,0.11,0.14,1.34
Other,1994,Fighting,Other,1.03,0.27,0,0.04,1.34
XB,2005,Shooter,Activision,0.85,0.43,0,0.06,1.34
Other,2015,Shooter,Ubisoft,0.77,0.45,0,0.12,1.34
PS3,2010,Racing,Other,0.25,0.75,0.08,0.26,1.34
PSP,2005,Role-Playing,Other,0.24,0.03,1.03,0.04,1.34
Other,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34
PS2,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34
X360,2006,Shooter,Other,1.09,0.04,0.1,0.1,1.34
PC,2000,Strategy,Electronic Arts,1.32,0.02,0,0,1.34
PS3,2014,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34
PS2,2003,Shooter,Take-Two Interactive,0.65,0.51,0,0.17,1.34
PS3,2008,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34
PS2,2004,Sports,Electronic Arts,1.1,0.06,0,0.18,1.34
Other,2016,Action,Other,0,0,1.33,0,1.33
PS2,2004,Platform,Sony Computer Entertainment,1.27,0.05,0,0.02,1.33
X360,2010,Action,Other,0.66,0.5,0.05,0.13,1.33
GBA,2002,Action,Activision,0.92,0.35,0.01,0.05,1.33
Other,1998,Fighting,Other,1.08,0.24,0,0.02,1.33
Other,2000,Sports,Activision,0.9,0.38,0.01,0.05,1.33
GBA,2003,Simulation,Electronic Arts,0.93,0.35,0,0.06,1.33
PS,2000,Sports,Electronic Arts,0.74,0.5,0,0.09,1.33
Other,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33
Other,2016,Role-Playing,Other,0.48,0.59,0.04,0.21,1.33
PS2,2004,Racing,Other,0.65,0.51,0,0.17,1.33
PS3,2007,Fighting,THQ,0.62,0.49,0.01,0.2,1.33
X360,2013,Platform,Activision,0.86,0.34,0,0.12,1.32
DS,2009,Action,Take-Two Interactive,0.58,0.56,0.05,0.14,1.32
X360,2010,Fighting,THQ,0.9,0.31,0,0.11,1.32
PC,2008,Role-Playing,Activision,0.01,0.13,0,1.18,1.32
Other,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32
PS,1998,Racing,Other,0.03,1.16,0.02,0.11,1.32
PS2,2002,Sports,Other,1.06,0.08,0,0.18,1.32
Other,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32
PS,1997,Fighting,Other,0.73,0.5,0,0.09,1.32
DS,2007,Simulation,Ubisoft,0.71,0.48,0,0.13,1.32
GBA,2003,Role-Playing,Other,0.31,0.04,0.96,0.01,1.32
X360,2010,Sports,Ubisoft,0.79,0.41,0,0.11,1.32
PSP,2005,Racing,Electronic Arts,0.69,0.37,0.02,0.24,1.32
PS,1996,Sports,Electronic Arts,0.73,0.5,0,0.09,1.32
PS3,2011,Adventure,Sony Computer Entertainment,0.67,0.34,0.13,0.17,1.31
PS,1996,Racing,Other,0.73,0.5,0,0.09,1.31
PS3,2010,Shooter,Sony Computer Entertainment,0.77,0.29,0.09,0.16,1.31
PS2,2002,Racing,Other,0.64,0.5,0,0.17,1.31
PS3,2011,Shooter,Other,0.47,0.58,0.06,0.2,1.31
PS3,2010,Action,Other,0.55,0.55,0,0.21,1.31
PS2,2005,Platform,Activision,0.78,0.45,0,0.07,1.31
Other,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0,0.11,1.31
PS,1999,Adventure,THQ,0.57,0.67,0,0.07,1.31
Other,1983,Platform,Activision,1.22,0.07,0,0.02,1.31
PS2,2002,Shooter,Other,0.64,0.5,0,0.17,1.31
X360,2009,Action,Activision,0.84,0.35,0,0.12,1.31
XB,2004,Racing,Electronic Arts,0.84,0.43,0,0.04,1.31
X360,2009,Misc,Other,0.97,0.23,0,0.11,1.3
Other,N/A,Adventure,Other,1.21,0.08,0,0.01,1.3
GBA,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0,0.02,1.3
PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3
Other,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3
X360,2012,Action,Activision,0.75,0.44,0,0.11,1.3
PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,0,1.02,1.3
Other,1995,Role-Playing,Other,0,0,1.29,0.01,1.3
PS,1997,Racing,Other,1.05,0.2,0,0.05,1.3
X360,2009,Fighting,Namco Bandai Games,0.71,0.41,0.05,0.12,1.3
Other,2015,Action,Ubisoft,0.62,0.56,0,0.11,1.3
PS,1999,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3
PS3,2014,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29
DS,2010,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29
PS3,2008,Action,Other,0.72,0.39,0,0.19,1.29
GBA,2002,Role-Playing,Other,0.39,0.02,0.85,0.03,1.29
Other,2002,Action,Other,0.54,0.27,0.45,0.04,1.29
Wii,2008,Misc,Other,0.67,0.49,0,0.13,1.29
PS3,2011,Action,Electronic Arts,0.46,0.56,0.06,0.21,1.29
GBA,2003,Platform,Other,0.93,0.34,0,0.02,1.29
DS,2005,Role-Playing,Nintendo,0.74,0.05,0.43,0.07,1.29
DS,2007,Misc,Other,1.13,0.01,0.06,0.09,1.29
Wii,2009,Misc,Other,1.2,0,0,0.09,1.29
PS2,2004,Shooter,Other,0.63,0.49,0,0.16,1.29
Other,2015,Action,Other,0.86,0.3,0.01,0.12,1.29
PC,2015,Role-Playing,Other,0.51,0.67,0,0.1,1.29
DS,2010,Platform,Sega,0.69,0.47,0.01,0.12,1.29
PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29
Wii,2007,Sports,Electronic Arts,0.68,0.47,0,0.13,1.29
PS2,2005,Racing,Take-Two Interactive,1.22,0.05,0,0.01,1.29
Wii,2008,Sports,Ubisoft,1.1,0.03,0.06,0.09,1.28
Other,2015,Role-Playing,Other,0.78,0.38,0,0.12,1.28
PS2,2004,Role-Playing,Other,0.63,0.49,0,0.16,1.28
PSP,N/A,Action,Other,0.57,0.44,0,0.27,1.28
Other,1989,Misc,Nintendo,0,0,1.28,0,1.28
PS,1999,Action,Other,1.1,0.14,0,0.04,1.28
DS,2008,Simulation,Ubisoft,0.55,0.59,0,0.14,1.28
PS,1999,Racing,Other,1.07,0.16,0,0.04,1.28
PS2,2003,Action,Take-Two Interactive,0.63,0.49,0,0.16,1.28
Wii,2006,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28
PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0,0.16,1.28
PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27
Wii,2008,Misc,Activision,1.03,0.14,0,0.1,1.27
X360,2014,Action,Other,0.69,0.47,0,0.11,1.27
PC,2005,Simulation,Electronic Arts,1.22,0.05,0,0,1.27
PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27
Other,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.27
Other,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27
PS2,2008,Action,Other,0.72,0.03,0,0.52,1.27
PS,1995,Racing,Electronic Arts,0.71,0.48,0,0.08,1.27
Other,1981,Shooter,Other,1.18,0.08,0,0.01,1.27
X360,2008,Sports,Take-Two Interactive,1,0.16,0,0.11,1.27
XB,2003,Sports,Activision,0.85,0.37,0,0.05,1.27
Other,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
Other,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27
DS,2008,Adventure,Nintendo,0.75,0.39,0,0.12,1.27
PS2,2002,Role-Playing,Other,0.49,0.38,0.26,0.13,1.27
Wii,2008,Sports,Other,0.96,0.2,0,0.11,1.27
PS3,2008,Role-Playing,Sega,0.71,0.19,0.24,0.13,1.27
X360,2011,Fighting,THQ,0.74,0.4,0,0.12,1.27
Other,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27
PS2,2004,Action,Sony Computer Entertainment,0.62,0.48,0,0.16,1.27
PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27
X360,2012,Action,THQ,0.72,0.44,0,0.11,1.27
PS3,2013,Role-Playing,Other,0.43,0.36,0.32,0.16,1.27
PS3,2013,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27
Wii,2010,Sports,Electronic Arts,0.76,0.39,0,0.11,1.26
Wii,2007,Sports,Take-Two Interactive,0.39,0.72,0,0.15,1.26
PS,1998,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26
PC,2010,Sports,Sega,0,1.01,0,0.25,1.26
PS,1998,Sports,Other,0.02,1.13,0.01,0.1,1.26
PC,2003,Sports,Other,0,1.15,0,0.11,1.26
PS,1998,Misc,Other,0.99,0.22,0,0.04,1.26
DS,2005,Simulation,Other,0.1,0.02,1.12,0.01,1.26
PS3,2008,Action,Other,0.45,0.55,0.05,0.22,1.26
DS,2008,Action,Activision,0.56,0.56,0,0.14,1.25
DS,2009,Strategy,Other,0.77,0.37,0,0.11,1.25
PS,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25
PS3,2013,Action,Other,0.56,0.41,0.09,0.19,1.25
PS2,2008,Action,Other,0.49,0,0.01,0.75,1.25
Other,N/A,Action,Other,1.17,0.07,0,0.01,1.25
X360,2014,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25
PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.16,0.02,0.13,1.25
Other,1988,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25
Other,1987,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25
PS,1996,Sports,Other,0.99,0.13,0.1,0.04,1.25
X360,2005,Racing,Electronic Arts,1,0.13,0.02,0.1,1.25
Other,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25
PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25
PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25
Other,2012,Platform,Sony Computer Entertainment,0.35,0.61,0.02,0.27,1.25
Other,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25
PC,2002,Strategy,Other,1.19,0.05,0,0,1.25
DS,2007,Action,THQ,0.49,0.62,0,0.14,1.25
PS2,2003,Action,Other,0.61,0.48,0,0.16,1.25
PS2,2004,Action,Ubisoft,0.52,0.56,0,0.17,1.25
PS,1998,Racing,Electronic Arts,1.05,0.16,0,0.04,1.25
PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24
Wii,2007,Sports,Other,0.45,0.67,0,0.12,1.24
PS2,2001,Role-Playing,Other,0.61,0.48,0,0.16,1.24
PS,1997,Platform,Other,0.75,0.44,0,0.06,1.24
PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24
PS2,2008,Fighting,THQ,0.69,0,0,0.55,1.24
Other,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24
Wii,N/A,Action,Other,0.69,0.42,0,0.12,1.24
XB,2005,Action,Activision,0.82,0.38,0,0.04,1.24
PS3,2009,Action,Activision,0.65,0.4,0,0.19,1.24
DS,2007,Action,Activision,1.12,0.02,0,0.09,1.24
PS3,2012,Sports,Electronic Arts,0.12,0.89,0,0.23,1.23
PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0,0.16,1.23
Other,2016,Sports,Electronic Arts,1.08,0.02,0,0.13,1.23
XB,2004,Action,Other,0.92,0.2,0.07,0.04,1.23
DS,2011,Racing,Other,0.68,0.4,0.04,0.11,1.23
XB,2002,Platform,Other,0.59,0.57,0,0.07,1.23
PS2,2004,Racing,Other,0.6,0.47,0,0.16,1.23
PSP,2009,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23
PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0,0.08,1.23
PS3,2014,Role-Playing,Other,0.52,0.35,0.18,0.18,1.23
X360,2012,Action,Other,0.64,0.49,0,0.11,1.23
Other,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23
GBA,2003,Platform,THQ,0.88,0.33,0,0.02,1.23
PS,1998,Racing,Activision,0.68,0.47,0,0.08,1.23
Other,2014,Action,Nintendo,0.58,0.42,0.13,0.1,1.23
Other,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23
X360,2008,Misc,Activision,1,0.13,0,0.1,1.23
GBA,2003,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23
PS3,2006,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23
Wii,2007,Action,Other,0.54,0.55,0,0.13,1.23
PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23
PS3,2011,Role-Playing,Namco Bandai Games,0.29,0.18,0.67,0.09,1.22
DS,2007,Racing,Nintendo,1.09,0.03,0,0.09,1.22
Other,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22
PS,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1,0.02,1.22
Other,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
Other,1997,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22
Other,1999,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22
PS2,2006,Adventure,Other,0.59,0.46,0.01,0.15,1.22
PS,1997,Sports,Electronic Arts,1.13,0.05,0,0.03,1.22
PS,1997,Role-Playing,Other,0,0,1.14,0.08,1.22
GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22
PS,1996,Simulation,Other,0.68,0.46,0,0.08,1.22
XB,2001,Shooter,Take-Two Interactive,0.98,0.19,0,0.05,1.22
PS,1998,Fighting,Electronic Arts,0.68,0.46,0,0.08,1.22
PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22
PS2,N/A,Racing,Other,0.6,0.46,0,0.16,1.22
PS2,2006,Racing,THQ,1.01,0.04,0,0.16,1.21
XB,2001,Misc,Other,0.93,0.24,0,0.04,1.21
XB,2004,Shooter,Activision,0.78,0.4,0,0.04,1.21
DS,2007,Simulation,Other,0.51,0.04,0.62,0.05,1.21
PSP,2005,Shooter,Other,1.05,0.05,0.01,0.1,1.21
Other,2011,Fighting,Other,0.55,0.44,0.14,0.09,1.21
PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0,0.04,1.21
Other,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.2,1.21
PS,1999,Action,Other,0.66,0.48,0.01,0.06,1.21
PS,2000,Action,Other,0.34,0.49,0.28,0.1,1.21
Other,1992,Platform,Other,0.66,0.17,0.35,0.03,1.21
PS,2001,Role-Playing,Other,0,0,1.2,0.01,1.21
Other,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21
PS3,2010,Fighting,Namco Bandai Games,0.42,0.46,0.15,0.18,1.21
